Index,Quantity,Component ,Digikey Part Number,Manufacturer Part Number,Description,Unit Price (CAD),Price (CAD),Link,,
1,1,,2221-K016-P-ND,K016-P,M5STICKC PLUS ESP32-PICO IOT KIT,31.48,31.48,https://www.digikey.ca/en/products/detail/m5stack-technology-co-ltd/K016-P/13148797,,
2,2,"SW1,SW2",CP-43514-ND,SJ-43514,CONN JACK 4COND 3.5MM,1.48,2.96,https://www.digikey.ca/en/products/detail/SJ-43514/CP-43514-ND/368146,,
3,2,"OK1,OK2",160-1366-5-ND,LTV-817,OPTOISOLATR 5KV TRANSISTOR 4-DIP,0.58,1.16,https://www.digikey.ca/en/products/detail/liteon/LTV-817/385836,,
4,1,JP1,609-3321-ND,68016-208HLF,CONN HEADER R/A 8POS 2.54MM,0.7,0.7,https://www.digikey.ca/en/products/detail/amphenol-cs-fci/68016-208HLF/1878499,,
5,2,"R1,R2",S1KQCT-ND,CFM14JT1K00,RES 1K OHM 5% 1/4W AXIAL,0.15,0.3,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CFM14JT1K00/1742111,,
6,2,"R3,R4",738-CFM14JA470RCT-ND,CFM14JA470R,RES 470 OHM 5% 1/4W AXIAL,0.15,0.3,https://www.digikey.ca/en/products/detail/stackpole-electronics-inc/CFM14JA470R/1742225,,
7,2,N/A,145-50M025045P006-ND,50M025045P006,"PAN PHILLIPS SCREW, M2.5 X 4.5 T",0.23,0.46,https://www.digikey.ca/en/products/detail/essentra-components/50M025045P006/11638590 ,,
8,2,N/A,36-9600-ND,9600,"HEX NUT 1/4"" STEEL 4-40",0.16,0.32,https://www.digikey.ca/en/products/detail/keystone-electronics/9600/2746248,,
,,,,,,,,,,
,,,,,,Total Price (CAD),37.68,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
